epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0291,3.50401,6.25413,2.8235,0.00091,0.27273,0.00087,0.00015,3.62802,6.24835,3.03604,4e-05,4e-05,4e-05
2,26.0581,3.5817,5.49606,2.82244,0.00152,0.45455,0.00193,0.00046,3.2096,6.71146,2.68328,9.91e-05,9.91e-05,9.91e-05
3,36.609,3.16185,5.39104,2.61405,0.00121,0.36364,0.0995,0.01119,2.61274,5.75591,2.34338,0.00015712,0.00015712,0.00015712
4,46.981,2.54269,4.62758,2.17819,0.00182,0.54545,0.25368,0.08476,2.25208,5.5124,2.04549,0.00021406,0.00021406,0.00021406
5,57.4856,2.28361,4.32844,2.04531,0.00182,0.54545,0.29032,0.13127,1.87707,4.76888,1.66412,0.00026992,0.00026992,0.00026992
6,67.7956,1.87337,3.59206,1.63089,0.00182,0.54545,0.33588,0.10293,1.70939,4.57305,1.57004,0.0003247,0.0003247,0.0003247
7,78.3405,1.98472,3.53425,1.66905,0.00242,0.72727,0.28399,0.08864,1.45171,4.355,1.4589,0.0003784,0.0003784,0.0003784
8,88.9824,1.80559,2.72262,1.5591,0.00273,0.81818,0.26456,0.0854,1.32433,4.39551,1.39764,0.00043102,0.00043102,0.00043102
9,99.4478,1.66635,3.08178,1.52804,0.00273,0.81818,0.41272,0.14716,1.51347,4.38182,1.4503,0.00048256,0.00048256,0.00048256
10,110.067,1.64101,2.76341,1.56025,0.00303,0.90909,0.4582,0.12626,1.51471,4.32896,1.47507,0.00053302,0.00053302,0.00053302
11,120.682,1.98073,2.82299,1.64979,0.00303,0.90909,0.13162,0.10996,1.4752,4.19612,1.38515,0.0005824,0.0005824,0.0005824
12,131.514,1.72056,2.57674,1.52631,0.00303,0.90909,0.32168,0.18162,1.43717,4.31115,1.38243,0.0006307,0.0006307,0.0006307
13,142.127,1.65267,2.31309,1.4228,0.00333,1,0.40486,0.18165,1.37223,4.02208,1.35805,0.00067792,0.00067792,0.00067792
14,152.694,1.65573,2.65841,1.52902,0.00333,1,0.21225,0.07035,1.33388,4.15418,1.31754,0.00072406,0.00072406,0.00072406
15,163.27,1.7233,2.36599,1.48816,0.00333,1,0.27065,0.06268,1.4072,4.11623,1.3527,0.00076912,0.00076912,0.00076912
16,173.995,1.79889,2.49696,1.51975,0.00333,1,0.44901,0.10212,1.51983,3.9652,1.3938,0.0008131,0.0008131,0.0008131
17,184.955,1.91828,2.66052,1.5921,0.00333,1,0.35619,0.07887,1.67859,4.05303,1.44204,0.000856,0.000856,0.000856
18,195.541,1.63879,2.4145,1.49961,0.00333,1,0.30752,0.09038,1.69155,3.90937,1.50875,0.00089782,0.00089782,0.00089782
19,206.429,1.59615,2.24317,1.46006,0.25025,0.81818,0.59902,0.21057,1.65898,3.6724,1.54307,0.00093856,0.00093856,0.00093856
20,217.19,1.51646,2.14873,1.49911,0.53834,0.32153,0.43862,0.20027,1.65266,3.51274,1.5502,0.00097822,0.00097822,0.00097822
21,227.632,1.77324,2.00673,1.60969,0.51982,0.27273,0.54713,0.24311,1.63507,3.3837,1.51753,0.0010168,0.0010168,0.0010168
22,238.504,1.79524,2.08173,1.70189,0.67282,0.45455,0.67728,0.32876,1.62134,3.21687,1.55287,0.0010543,0.0010543,0.0010543
23,249.299,1.52926,1.69636,1.46299,0.67889,0.45455,0.52304,0.27446,1.73517,3.15986,1.58934,0.00109072,0.00109072,0.00109072
24,259.606,1.70121,1.82899,1.52793,0.34064,0.36364,0.26263,0.15557,1.58367,3.34347,1.46474,0.00112606,0.00112606,0.00112606
25,271.324,1.82616,1.97387,1.64718,0.2715,0.54545,0.20024,0.09766,1.62836,3.51849,1.46302,0.00116032,0.00116032,0.00116032
26,282.345,1.76053,2.12583,1.59139,0.19322,0.36364,0.22209,0.08469,1.81124,3.59347,1.62646,0.0011935,0.0011935,0.0011935
27,293.421,1.98186,2.13432,1.65956,0.22211,0.27273,0.2127,0.09178,1.87777,3.43066,1.69247,0.0012256,0.0012256,0.0012256
28,304.706,1.97904,2.18773,1.74391,0.74702,0.18182,0.35891,0.14077,2.25677,3.71971,2.08214,0.00125662,0.00125662,0.00125662
29,316.017,1.76537,2.45846,1.62789,0.74702,0.18182,0.35891,0.14077,2.25677,3.71971,2.08214,0.00128656,0.00128656,0.00128656
30,327.137,1.67901,2.13263,1.51026,0.29625,0.36364,0.2138,0.07554,2.22655,3.38568,1.90467,0.00131542,0.00131542,0.00131542
31,338.049,1.7241,2.05579,1.66492,0.23573,0.67365,0.2054,0.09404,2.0165,3.3245,1.84903,0.0013432,0.0013432,0.0013432
32,348.678,1.79506,2.05528,1.66263,0.52208,0.81818,0.71877,0.34075,1.89366,2.33253,1.85625,0.0013699,0.0013699,0.0013699
33,359.508,1.74361,1.82554,1.66287,0.52208,0.81818,0.71877,0.34075,1.89366,2.33253,1.85625,0.00139552,0.00139552,0.00139552
34,370.272,1.802,1.91057,1.60294,0.56429,0.81818,0.7664,0.36531,1.71027,2.21847,1.73797,0.001406,0.001406,0.001406
35,380.855,1.60461,1.76383,1.54695,0.8042,0.45455,0.65062,0.32826,1.74024,2.22453,1.67022,0.001388,0.001388,0.001388
36,391.369,1.74272,1.87629,1.58094,0.84454,0.63636,0.80213,0.44881,1.88511,2.12959,1.729,0.00137,0.00137,0.00137
37,402.048,1.57523,1.94335,1.54938,0.84454,0.63636,0.80213,0.44881,1.88511,2.12959,1.729,0.001352,0.001352,0.001352
38,412.377,1.65865,1.76321,1.53509,0.97981,0.72727,0.90375,0.46709,1.8409,1.96526,1.74017,0.001334,0.001334,0.001334
