epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8919,1.71134,2.79877,2.20095,0.00333,1,0.0994,0.03887,1.61973,3.79011,2.65541,4e-05,4e-05,4e-05
2,62.2094,1.59875,2.7296,2.11866,0.00333,1,0.34294,0.14064,1.34372,3.57338,2.41813,9.901e-05,9.901e-05,9.901e-05
3,90.7635,1.20688,2.37697,1.76497,0.00333,1,0.72488,0.30473,1.18639,3.56406,2.18383,0.000156832,0.000156832,0.000156832
4,121.164,1.20359,2.1789,1.80098,0.00333,1,0.79,0.38525,1.03855,3.29666,2.09443,0.000213466,0.000213466,0.000213466
5,149.502,1.19524,1.85442,1.72931,0.00333,1,0.82931,0.35682,1.15232,3.26207,2.24066,0.000268912,0.000268912,0.000268912
6,177.972,1.2253,1.76273,1.66428,0.00333,1,0.82576,0.41505,1.0012,3.3503,2.0445,0.00032317,0.00032317,0.00032317
7,207.327,1.15279,1.80539,1.70695,0.00333,1,0.995,0.47575,1.00771,3.30108,1.90304,0.00037624,0.00037624,0.00037624
8,236.612,1.11244,1.60071,1.66278,0.00333,1,0.89467,0.47368,1.14258,3.23871,2.06222,0.000428122,0.000428122,0.000428122
9,265.508,1.08964,1.62323,1.6667,0.00333,1,0.96389,0.32507,1.61726,3.25075,2.72777,0.000478816,0.000478816,0.000478816
10,293.952,1.13879,1.50873,1.62043,0.00333,1,0.96389,0.3228,1.67724,3.31852,2.86374,0.000528322,0.000528322,0.000528322
11,312.773,1.10232,1.54694,1.57672,0.00333,1,0.995,0.23873,1.53608,3.49207,2.54166,0.00057664,0.00057664,0.00057664
12,340.536,1.12247,1.61202,1.60991,0.00333,1,0.995,0.2778,1.52077,3.36127,2.85652,0.00062377,0.00062377,0.00062377
13,368.103,1.0971,1.4883,1.56946,1,0.56461,0.92033,0.28511,1.57126,3.08495,2.98158,0.000669712,0.000669712,0.000669712
14,395.58,1.08714,1.43496,1.57374,0.80176,0.28571,0.76315,0.26026,1.82417,3.3012,3.04308,0.000714466,0.000714466,0.000714466
15,423.696,1.13162,1.3482,1.6244,0.7549,0.57143,0.80917,0.30677,1.58107,3.36934,2.80628,0.000758032,0.000758032,0.000758032
16,452.175,1.16223,1.44875,1.60996,0.59943,0.42857,0.55313,0.23824,1.79441,3.19136,2.90623,0.00080041,0.00080041,0.00080041
17,480.284,1.06073,1.38604,1.60542,0.74277,0.71429,0.65803,0.23254,2.07738,3.05772,3.91425,0.0008416,0.0008416,0.0008416
18,508.676,1.12782,1.35442,1.55621,0.81895,0.71429,0.6333,0.25149,1.98088,3.20547,3.91417,0.000881602,0.000881602,0.000881602
19,536.849,1.0895,1.33375,1.65343,0.66196,0.56135,0.60755,0.2497,2.08999,3.25666,3.82629,0.000920416,0.000920416,0.000920416
20,559.999,1.07522,1.32406,1.54333,0.95435,0.71429,0.73347,0.24851,2.37506,3.1104,4.14647,0.000958042,0.000958042,0.000958042
21,588.342,1.11658,1.42236,1.60327,0.97205,0.57143,0.64398,0.25426,2.11221,3.39012,4.2017,0.00099448,0.00099448,0.00099448
22,616.18,1.21906,1.29782,1.59265,0.8509,0.81968,0.83521,0.28933,2.14843,2.76202,4.10509,0.00102973,0.00102973,0.00102973
23,643.751,1.0948,1.24377,1.56143,1,0.56406,0.6762,0.31766,1.87056,2.82089,3.14718,0.00106379,0.00106379,0.00106379
24,671.967,1.10726,1.26856,1.60785,0.57503,0.77689,0.74567,0.43887,1.73585,2.69551,3.64766,0.00109667,0.00109667,0.00109667
25,700.654,1.06912,1.22861,1.52857,0.78298,0.57143,0.73517,0.24702,2.22664,2.95313,5.03269,0.00112835,0.00112835,0.00112835
26,730.335,1.21727,1.29221,1.6115,0.67393,0.71429,0.63412,0.15317,2.82484,2.89899,6.85043,0.00115885,0.00115885,0.00115885
27,756.08,1.10446,1.35283,1.60713,0.85526,0.84582,0.75378,0.14884,2.6993,3.35494,7.62271,0.00118816,0.00118816,0.00118816
